frame,timestamp,box_pixels_stride2,dynamic_mask_pixels_stride2,intersection_pixels_stride2,box_recall,mask_precision_to_box,global_mask_fraction,odom_dt,box_odom_dt,box_x,box_y,box_z
29,540.51,0,9769,0,nan,0.0,0.12720052083333333,0.011999999999943611,0.004000000000019099,-6.9999828955489445,-4.725000000000101,0.30999999995146804
30,540.56,0,5541,0,nan,0.0,0.0721484375,0.0060000000000854925,0.0039999999999054126,-6.9999829860486855,-4.700000000000115,0.30999999995146804
31,540.611,0,7394,0,nan,0.0,0.09627604166666667,0.010999999999967258,0.0049999999999954525,-6.999983094648375,-4.670000000000131,0.30999999995146804
32,540.66,0,10575,0,nan,0.0,0.1376953125,0.008000000000038199,0.004000000000019099,-6.999983167048168,-4.6500000000001425,0.30999999995146804
33,540.71,0,10149,0,nan,0.0,0.1321484375,0.008000000000038199,0.004000000000019099,-6.999983257547909,-4.625000000000156,0.30999999995146804
34,540.761,0,14598,0,nan,0.0,0.190078125,0.009000000000014552,0.0049999999999954525,-6.999983366147598,-4.595000000000173,0.30999999995146804
35,540.81,0,8023,0,nan,0.0,0.10446614583333333,0.005999999999971806,0.0039999999999054126,-6.999983438547391,-4.575000000000184,0.30999999995146804
36,540.862,0,8658,0,nan,0.0,0.112734375,0.009999999999990905,0.004000000000019099,-6.99998354714708,-4.545000000000201,0.30999999995146804
37,540.91,0,6772,0,nan,0.0,0.08817708333333334,0.004000000000019099,0.004000000000019099,-6.999983619546873,-4.525000000000212,0.30999999995146804
38,540.96,0,7711,0,nan,0.0,0.10040364583333333,0.014000000000010004,0.004000000000019099,-6.999983710046614,-4.500000000000226,0.30999999995146804
39,541.01,0,8354,0,nan,0.0,0.10877604166666667,0.0019999999999527063,0.004000000000019099,-6.999983800546355,-4.4750000000002395,0.30999999995146804
40,541.061,0,16698,0,nan,0.0,0.217421875,0.014999999999986358,0.0049999999999954525,-6.999983909146044,-4.445000000000256,0.30999999995146804
41,541.111,0,12866,0,nan,0.0,0.16752604166666665,0.0009999999999763531,0.0049999999999954525,-6.999983999645785,-4.42000000000027,0.30999999995146804
42,541.16,0,7496,0,nan,0.0,0.09760416666666667,0.01599999999996271,0.004000000000019099,-6.999984072045578,-4.400000000000281,0.30999999995146804
